R(m,n,s) = {integers that can be expressed as the sum of m n-th powers in s or more ways}												S(m,n,s) = {integers that can be expressed as the sum of m n-th powers in exactly s ways}										
Alter uses r(m,n,s) to denote the least such solution																						
Powers do not need to be distinct, but are all positive																						
Solutions do not need to be primitive																						
{}	Indicates an empty set, no solution is possible																					
	Indicates sequence is not present in the OEIS																					
	no known solution?																					
	Insufficient terms in R to distinguish from S																					
	Sequences created as part of this project																					
italic	Indicates the sequence is known to be finite																					
bold	Indicates the sequence is implemented in jOEIS																					
																						
n=2  (squares), s or more ways												n=2  (squares), exactly s ways										
m\s	1	2	3	4	5	6	7	8	9	10		m\s	1	2	3	4	5	6	7	8	9	10
1	A000290	{}	{}	{}	{}	{}	{}	{}	{}	{}		1	A000290	{}	{}	{}	{}	{}	{}	{}	{}	{}
2	A000404	A007692	A025294	A025295	A025296	A025297	A025298	A025299	A025300	A025301		2	A025284	A025285	A025286	A025287	A025288	A025289	A025290	A025291	A025292	A025293
3	A000408	A024796	A025331	A025332	A025333	A025334	A025335	A025336	A025337	A025338		3	A025321	A025322	A025323	A025324	A025325	A025326	A025327	A025328	A025329	A025330
4	A000414	A025367	A025368	A025369	A025370	A025371	A025372	A025373	A025374	A025375		4	A025357	A025358	A025359	A025360	A025361	A025362	A025363	A025364	A025365	A025366
5	A047700	A344795	A344796	A344797	A344798	A344799	A344800	A344801	A344802	A344803		5	A294675	A294736	A294737	A294738	A294739	A294740	A294741	A294742	A294743	A294744
6	A344805	A344806	A344807	A344808	A344809	A344810	A344811	A344812	A345476	A345477		6	21	6	15	7	8	11	7	7	3	10
7	A345478	A345479	A345480	A345481	A345482	A345483	A345484	A345485	A345486	A345487		7	18	6	9	11	4	3	8	9	3	3
8	A345488	A345489	A345490	A345491	A345492	A345493	A345494	A345495	A345496	A345497		8	16	8	4	9	9	2	1	6	5	7
9	A345498	A345499	A345500	A345501	A345502	A345503	A345504	A345505	X	A346803		9	15	9	1	9	8	5	1	0	6	3
10	A345508	A345509	A345510	X	A346804	A346805	A346806	A346807	X	A346808		10	15	9	0	7	8	5	4	0	1	4
																						
n=3 (cubes), s or more ways												n=3 (cubes), exactly s ways										
m\s	1	2	3	4	5	6	7	8	9	10		m\s	1	2	3	4	5	6	7	8	9	10
1	A000578	{}	{}	{}	{}	{}	{}	{}	{}	{}		1	A000578	{}	{}	{}	{}	{}	{}	{}	{}	{}
2	A003325	A001235	A018787	A023051	A051167	X	X	X	X	X		2	A338667	A343708	A344804	A345865	X	X	X	X	X	X
3	A003072	A008917	A025398	A343968	A343967	A345083	A345086	A345087	A345119	A345121		3	A025395	A025396	A025397	A343969	A343970	A345084	A345085	A345088	A345120	A345122
4	A003327	A025406	A025407	A343971	A343987	A345148	A345150	A345152	A345146	A345155		4	A025403	A025404	A025405	A343972	A343986	A345149	A345151	A345153	A345154	A345156
5	A003328	A343702	A343704	A344034	A343989	A345174	A345180	A345183	A345185	A345187		5	A048926	A048927	A343705	A344035	A343988	A345175	A345181	A345184	A345186	A345188
6	A003329	A345511	A345512	A345513	A345514	A345515	A345516	A345517	A345518	A345519		6	A048929	A048930	A048931	A345766	A345767	A345768	A345769	A345770	A345771	A345772
7	A003330	A345520	A345521	A345522	A345523	A345524	A345525	A345526	A345527	A345506		7	A345773	A345774	A345775	A345776	A345777	A345778	A345779	A345780	A345781	A345782
8	A003331	A345532	A345533	A345534	A345535	A345536	A345537	A345538	A345539	A345540		8	A345783	A345784	A345785	A345786	A345787	A345788	A345789	A345790	A345791	A345792
9	A003332	A345541	A345542	A345543	A345544	A345545	A345546	A345547	A345548	A345549		9	A345793	A345794	A345795	A345796	A345797	A345798	A345799	A345800	A345801	A345802
10	A003333	A345550	A345551	A345552	A345553	A345554	A345555	A345556	A345557	A345558		10	A345803	A345804	A345805	A345806	A345807	A345808	A345809	A345810	A345811	A345812
																						
n=4, s or more ways												n=4, exactly s ways										
m\s	1	2	3	4	5	6	7	8	9	10		m\s	1	2	3	4	5	6	7	8	9	10
1	A000583	{}	{}	{}	{}	{}	{}	{}	{}	{}		1	A000583	{}	{}	{}	{}	{}	{}	{}	{}	{}
2	A003336	A018786	> 500000^4	X	X	X	X	X	X	X		2	A344187	X	X	X	X	X	X	X	X	X
3	A003337	A309762	A344239	A344277	A344364	A344647	A344729	A344737	A344750	A344862		3	A344188	A344192	A344240	A344278	A344365	A344648	A344730	A344738	A344751	A344861
4	A003338	A309763	A344241	A344352	A344356	A344904	A344922	A344924	A344926	A344928		4	A344189	A344193	A344242	A344353	A344357	A344921	A344923	A344925	A344927	A344929
5	A003339	A344238	A344243	A344354	A344358	A344940	A344942	A344944	A341891	A341897		5	A344190	A344237	A344244	A344355	A344359	A344941	A344943	A344945	A341892	A341898
6	A003340	A345559	A345560	A345561	A345562	A345563	A345564	A345565	A345566	A345567		6	A345813	A345814	A345815	A345816	A345817	A345818	A345819	A345820	A345821	A345822
7	A003341	A345568	A345569	A345570	A345571	A345572	A345573	A345574	A345575	A345576		7	A345823	A345824	A345825	A345826	A345827	A345828	A345829	A345830	A345831	A345832
8	A003342	A345577	A345578	A345579	A345580	A345581	A345582	A345583	A345584	A345585		8	A345833	A345834	A345835	A345836	A345837	A345838	A345839	A345840	A345841	A345842
9	A003343	A345586	A345587	A345588	A345589	A345590	A345591	A345592	A345593	A345594		9	A345843	A345844	A345845	A345846	A345847	A345848	A345849	A345850	A345851	A345852
10	A003344	A345595	A345596	A345597	A345598	A345599	A345600	A345601	A345602	A345603		10	A345853	A345854	A345855	A345856	A345857	A345858	A345859	A345860	A345861	A345862
																						
n=5, s or more ways												n=5, exactly s ways										
m\s	1	2	3	4	5	6	7	8	9	10		m\s	1	2	3	4	5	6	7	8	9	10
