A029722	FiniteSequence	1000,1000000000,1000000000000000000000000000,100,1,4,8,3,5,-1,-1,11,1000000,1,1,1000000000000000000000000,1000000000000000,3,6,2,4,5,2,6,20,-1	# 26 Smallest positive integer containing the n-th letter of the alphabet (in English), or -1 if no such integer exists.
A032354	FiniteSequence	0,1728,-3375,8000,-32768,54000,287496,-884736,-12288000,16581375,-884736000,-147197952000,-262537412640768000	# 13 j-invariants for orders of class number 1.
A032799	FiniteSequence	0,1,2,3,4,5,6,7,8,9,89,135,175,518,598,1306,1676,2427,2646798,12157692622039623539	# 20 Numbers n such that n equals the sum of its digits raised to the consecutive powers (1,2,3,...).
A038131	FiniteSequence	120777781,111210471811,311211101417111821,13211231101114111731181211,111312211213211031143117132118111221,31131122211211131221101321141321171113122118312211	# 6 2nd-longest sequence (6 terms) of primes according to the rule stipulated in A005150.
A038132	FiniteSequence	402266411,141022261421,11141110321611141211,31143110131211163114111221,132114132110111311123116132114312211,1113122114111312211031133112132116111312211413112221	# 6 3rd-longest sequence (6 terms) of primes according to the rule stipulated in A005150.
A038188	FiniteSequence	1,1,1,3,8,13,14,14,24,74,112,125,125,165,265,1265,2568,12468,1002568,1001002568,1000001001002568,1000000001000001001002568,1001000000001000001001002568	# 23 Smallest integer whose name in colloquial American English (no "and"s) uses n different letters.
A047076	FiniteSequence	2,30203,133020331,1713302033171,12171330203317121,151217133020331712151,1815121713302033171215181,16181512171330203317121518161,331618151217133020331712151816133,9333161815121713302033171215181613339,11933316181512171330203317121518161333911	# 11 a(n+1) is the smallest palindromic prime containing exactly 2 more digits on each end than the previous term, with a(n) as a central substring.
A050933	FiniteSequence	0,1,2,3,4,5,6,8,11,20,100,1000,1000000,1000000000,1000000000000000,1000000000000000000000000,1000000000000000000000000000	# 17 Numbers k with property that spelling k in American English requires a new letter of the alphabet.
A051441	FiniteSequence	262144,542101086242752217003726400434970855712890625,7776,7	# 4 4^3^2^1, 5^4^3, 6^5, 7.
A053401	FiniteSequence	1,60,3600,86400,604800,2629746,31556952,3155695200,31556952000,31556952000000000	# 10 Number of seconds in the time units: second, minute, hour, day, week, month, year, century, millennium, (a)eon.
A062012	FiniteSequence	21,1066338805156287287067,1124161332414632881704,2305867155177711644802,2306166776784312535170,5744341611556736174883	# 6 Decimal numbers N such that there is some base b such that (N regarded as a base b number) = (1/b)*(N regarded as a base 10 number).
A065004	FiniteSequence	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,1100100,10201,1210,400,244,202,144,121,100,91,84,79,72,-1,64,-1,-1,55,50,-1,-1,48,44,40,-1,-1,-1,-1,-1,37,34,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,26,24,22,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,18,17,16,15,14,13,12,11,10	# 100 100 written in base n, or -1 if such a representation does not exist.
A065147	FiniteSequence	72,79,84,91,100,121,144,202,244,400,1210,10201,1100100,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	# 14 100 written in base 15-n.
A067470	FiniteSequence	1,16,125,1296,16807,117649,2097152,16777216,134217728,1073741824,31381059609,282429536481,2541865828329,22876792454961,205891132094649,1853020188851841,16677181699666569,150094635296999121,1350851717672992089,12157665459056928801,109418989131512359209	# 21 Smallest n-digit n-th power.
A074194	FiniteSequence	0,1,9004106619977392256259918212890624,9004106619977392256259918212890625,18008213239954784512519836425781249,31991786760045215487480163574218751,40995893380022607743740081787109375,49999999999999999999999999999999999,50000000000000000000000000000000001,59004106619977392256259918212890625,68008213239954784512519836425781249,81991786760045215487480163574218751,90995893380022607743740081787109375,90995893380022607743740081787109376,99999999999999999999999999999999999	# 15 Trimorphic numbers: a(n)^3 == a(n) (mod 10^35).
A075854	FiniteSequence	11,11221,1121322331,11213142232433441,11213141522324253343544551,1121314151622324252633435364454655661,11213141516172232425262733435363744546475565766771,11213141516171822324252627283343536373844546474855657586676877881,1121314151617181922324252627282933435363738394454647484955657585966768697787988991	# 9 Smallest integer composed of digits 1..n such that no subsequence is repeated and every possible subsequence of length 2 appears.
A082240	FiniteSequence	12,34,567,8,90,12,34567890,123456,789012,34567890,123456789012345678901	# 11 Break up the cyclic concatenation 1234567890123456789023... into parts nontrivially (a(n) is not equal to n) such that the n-th part is a multiple of n.
A088096	FiniteSequence	13,137,13729,13729117,137291171639,13729117163945893,13729117163945893734289,1372911716394589373428954337387,1372911716394589373428954337387434699097	# 9 Primes arising in A088095.
A090490	FiniteSequence	1,110,11100,1111000,111110000,11111100000,1111111000006,111111110000064,11111111100000648,1111111111000006480,111111111110000064800,11111111111100000648000,1111111111111000006480005,111111111111110000064800052,11111111111111100000648000525	# 15 For n > 1, a(n) is the least multiple of n that can be obtained by adding one digit to each end of a(n-1).
