aseqno	info
A023365	a(n)=2^(3^(n-1))
A023813	a(n)=n^(n*(n+1)/2)
A024005	a(n)=1-n^7
A024007	a(n)=1-n^9
A024008	a(n)=1-n^10
A024009	a(n)=1-n^11
A024010	a(n)=1-n^12
A024020	a(n)=2^n-n^10
A024022	a(n)=2^n-n^12
A024027	a(n)=3^n-n^4
A024029	a(n)=3^n-n^6
A024030	a(n)=3^n-n^7
A024032	a(n)=3^n-n^9
A024033	a(n)=3^n-n^10
A024034	a(n)=3^n-n^11
A024035	a(n)=3^n-n^12
A024043	a(n)=4^n-n^7
A024044	a(n)=4^n-n^8
A024045	a(n)=4^n-n^9
A024046	a(n)=4^n-n^10
A024047	a(n)=4^n-n^11
A024048	a(n)=4^n-n^12
A024053	a(n)=5^n-n^4
A024056	a(n)=5^n-n^7
A024057	a(n)=5^n-n^8
A024058	a(n)=5^n-n^9
A024059	a(n)=5^n-n^10
A024060	a(n)=5^n-n^11
A024061	a(n)=5^n-n^12
A024066	a(n)=6^n-n^4
A024068	a(n)=6^n-n^6
A024069	a(n)=6^n-n^7
A024071	a(n)=6^n-n^9
A024072	a(n)=6^n-n^10
A024074	a(n)=6^n-n^12
A024084	a(n)=7^n-n^9
A024085	a(n)=7^n-n^10
A024086	a(n)=7^n-n^11
A024087	a(n)=7^n-n^12
A024092	a(n)=8^n-n^4
A024095	a(n)=8^n-n^7
A024097	a(n)=8^n-n^9
A024098	a(n)=8^n-n^10
A024099	a(n)=8^n-n^11
A024100	a(n)=8^n-n^12
A024109	a(n)=9^n-n^8
A024110	a(n)=9^n-n^9
A024111	a(n)=9^n-n^10
A024112	a(n)=9^n-n^11
A024118	a(n)=10^n-n^4
A024124	a(n)=10^n-n^10
A024138	a(n)=11^n-n^11
A024147	a(n)=12^n-n^7
A024148	a(n)=12^n-n^8
A024149	a(n)=12^n-n^9
A024150	a(n)=12^n-n^10
A024151	a(n)=12^n-n^11
A024152	a(n)=12^n-n^12
A026809	a(n)=3^n*(3^n-1)*(3^n-2)/6
A027412	a(n)=2*a(n-1)+(n-2)*a(n-2)
A028367	a(n)=(2^n-2)!
A028369	a(n)=2^(2^(n-1)+n-2)
A028370	a(n)=(2^(n-1))!*2^(2^(n-1)-1)
